query_name,phase_reached,meta_is_incremental,actual_is_incremental,is_correct,time_select_ms,time_mv_ms,time_refresh_ms,time_verify_ms,error
query_0399,6,1,1,1,0.25859,119.83,37.752,1.7569,""
query_0400,6,1,1,1,0.26097,121.66,36.199,1.7146,""
query_0401,6,1,1,1,0.24975,118.43,36.244,1.6535,""
query_0402,6,1,1,1,0.2453,118.26,36.716,1.6724,""
query_0403,6,1,1,1,0.25989,118.17,36.615,1.7201,""
query_0404,6,1,1,1,0.24351,120.37,37.86,1.7803,""
query_0405,6,1,1,1,0.2766,119.35,35.01,1.6503,""
query_0406,6,1,1,1,0.23916,117,34.924,1.6098,""
query_0407,6,1,1,1,0.27809,117.56,1.3865,5.4353,""
query_0408,6,1,1,1,0.29646,119.17,1.4857,2.8055,""
query_0409,6,1,1,1,0.66434,154.06,131.88,49.759,""
query_0410,6,1,1,1,0.69205,207.12,123.05,49.054,""
query_0411,6,1,1,1,0.6714,167.68,129.49,51.952,""
